"date" "interval" "steps" "wday"
"56" "2012-11-25" "0" 0 "weekend"
"57" "2012-11-26" "0" 0 "weekday"
"58" "2012-11-27" "0" 0 "weekday"
"59" "2012-11-28" "0" 0 "weekday"
"60" "2012-11-29" "0" 0 "weekday"
"61" "2012-11-30" "0" 2 "weekday"
"62" "2012-10-01" "5" 0 "weekday"
"63" "2012-10-02" "5" 0 "weekday"
"64" "2012-10-03" "5" 0 "weekday"
"65" "2012-10-04" "5" 0 "weekday"
"66" "2012-10-05" "5" 0 "weekday"
"67" "2012-10-06" "5" 0 "weekend"
"68" "2012-10-07" "5" 0 "weekend"
"69" "2012-10-08" "5" 0 "weekday"
"70" "2012-10-09" "5" 0 "weekday"
"71" "2012-10-10" "5" 18 "weekday"
"72" "2012-10-11" "5" 0 "weekday"
"73" "2012-10-12" "5" 0 "weekday"
"74" "2012-10-13" "5" 0 "weekend"
"75" "2012-10-14" "5" 0 "weekend"
"76" "2012-10-15" "5" 0 "weekday"
"77" "2012-10-16" "5" 0 "weekday"
"78" "2012-10-17" "5" 0 "weekday"
"79" "2012-10-18" "5" 0 "weekday"
"80" "2012-10-19" "5" 0 "weekday"
"81" "2012-10-20" "5" 0 "weekend"
"82" "2012-10-21" "5" 0 "weekend"
"83" "2012-10-22" "5" 0 "weekday"
"84" "2012-10-23" "5" 0 "weekday"
"85" "2012-10-24" "5" 0 "weekday"
"86" "2012-10-25" "5" 0 "weekday"
"87" "2012-10-26" "5" 0 "weekday"
"88" "2012-10-27" "5" 0 "weekend"
"89" "2012-10-28" "5" 0 "weekend"
"90" "2012-10-29" "5" 0 "weekday"
"91" "2012-10-30" "5" 0 "weekday"
"92" "2012-10-31" "5" 0 "weekday"
"93" "2012-11-01" "5" 0 "weekday"
"94" "2012-11-02" "5" 0 "weekday"
"95" "2012-11-03" "5" 0 "weekend"
"96" "2012-11-04" "5" 0 "weekend"
"97" "2012-11-05" "5" 0 "weekday"
"98" "2012-11-06" "5" 0 "weekday"
"99" "2012-11-07" "5" 0 "weekday"
"100" "2012-11-08" "5" 0 "weekday"
"101" "2012-11-09" "5" 0 "weekday"
"102" "2012-11-10" "5" 0 "weekend"
"103" "2012-11-11" "5" 0 "weekend"
"104" "2012-11-12" "5" 0 "weekday"
"105" "2012-11-13" "5" 0 "weekday"
"106" "2012-11-14" "5" 0 "weekday"
"107" "2012-11-15" "5" 0 "weekday"
"108" "2012-11-16" "5" 0 "weekday"
"109" "2012-11-17" "5" 0 "weekend"
"110" "2012-11-18" "5" 0 "weekend"
"111" "2012-11-19" "5" 0 "weekday"
"112" "2012-11-20" "5" 0 "weekday"
"113" "2012-11-21" "5" 0 "weekday"
"114" "2012-11-22" "5" 0 "weekday"
"115" "2012-11-23" "5" 0 "weekday"
"116" "2012-11-24" "5" 0 "weekend"
"117" "2012-11-25" "5" 0 "weekend"
"118" "2012-11-26" "5" 0 "weekday"
"119" "2012-11-27" "5" 0 "weekday"
"120" "2012-11-28" "5" 0 "weekday"
"121" "2012-11-29" "5" 0 "weekday"
"122" "2012-11-30" "5" 0 "weekday"
"123" "2012-10-01" "10" 0 "weekday"
"124" "2012-10-02" "10" 0 "weekday"
"125" "2012-10-03" "10" 0 "weekday"
"126" "2012-10-04" "10" 0 "weekday"
"127" "2012-10-05" "10" 0 "weekday"
"128" "2012-10-06" "10" 0 "weekend"
"129" "2012-10-07" "10" 0 "weekend"
"130" "2012-10-08" "10" 0 "weekday"
"131" "2012-10-09" "10" 0 "weekday"
"132" "2012-10-10" "10" 7 "weekday"
"133" "2012-10-11" "10" 0 "weekday"
"134" "2012-10-12" "10" 0 "weekday"
"135" "2012-10-13" "10" 0 "weekend"
"136" "2012-10-14" "10" 0 "weekend"
"137" "2012-10-15" "10" 0 "weekday"
"138" "2012-10-16" "10" 0 "weekday"
"139" "2012-10-17" "10" 0 "weekday"
"140" "2012-10-18" "10" 0 "weekday"
"141" "2012-10-19" "10" 0 "weekday"
"142" "2012-10-20" "10" 0 "weekend"
"143" "2012-10-21" "10" 0 "weekend"
"144" "2012-10-22" "10" 0 "weekday"
"145" "2012-10-23" "10" 0 "weekday"
"146" "2012-10-24" "10" 0 "weekday"
"147" "2012-10-25" "10" 0 "weekday"
"148" "2012-10-26" "10" 0 "weekday"
"149" "2012-10-27" "10" 0 "weekend"
"150" "2012-10-28" "10" 0 "weekend"
"151" "2012-10-29" "10" 0 "weekday"
"152" "2012-10-30" "10" 0 "weekday"
"153" "2012-10-31" "10" 0 "weekday"
"154" "2012-11-01" "10" 0 "weekday"
"155" "2012-11-02" "10" 0 "weekday"
"156" "2012-11-03" "10" 0 "weekend"
"157" "2012-11-04" "10" 0 "weekend"
"158" "2012-11-05" "10" 0 "weekday"
"159" "2012-11-06" "10" 0 "weekday"
"160" "2012-11-07" "10" 0 "weekday"
"161" "2012-11-08" "10" 0 "weekday"
"162" "2012-11-09" "10" 0 "weekday"
"163" "2012-11-10" "10" 0 "weekend"
"164" "2012-11-11" "10" 0 "weekend"
"165" "2012-11-12" "10" 0 "weekday"
"166" "2012-11-13" "10" 0 "weekday"
"167" "2012-11-14" "10" 0 "weekday"
"168" "2012-11-15" "10" 0 "weekday"
"169" "2012-11-16" "10" 0 "weekday"
"170" "2012-11-17" "10" 0 "weekend"
"171" "2012-11-18" "10" 0 "weekend"
"172" "2012-11-19" "10" 0 "weekday"
"173" "2012-11-20" "10" 0 "weekday"
"174" "2012-11-21" "10" 0 "weekday"
"175" "2012-11-22" "10" 0 "weekday"
"176" "2012-11-23" "10" 0 "weekday"
"177" "2012-11-24" "10" 0 "weekend"
"178" "2012-11-25" "10" 0 "weekend"
"179" "2012-11-26" "10" 0 "weekday"
"180" "2012-11-27" "10" 0 "weekday"
"181" "2012-11-28" "10" 0 "weekday"
"182" "2012-11-29" "10" 0 "weekday"
"183" "2012-11-30" "10" 0 "weekday"
"184" "2012-10-01" "15" 0 "weekday"
"185" "2012-10-02" "15" 0 "weekday"
"186" "2012-10-03" "15" 0 "weekday"
"187" "2012-10-04" "15" 0 "weekday"
"188" "2012-10-05" "15" 0 "weekday"
"189" "2012-10-06" "15" 0 "weekend"
"190" "2012-10-07" "15" 0 "weekend"
"191" "2012-10-08" "15" 0 "weekday"
"192" "2012-10-09" "15" 0 "weekday"
"193" "2012-10-10" "15" 0 "weekday"
"194" "2012-10-11" "15" 8 "weekday"
"195" "2012-10-12" "15" 0 "weekday"
"196" "2012-10-13" "15" 0 "weekend"
"197" "2012-10-14" "15" 0 "weekend"
"198" "2012-10-15" "15" 0 "weekday"
"199" "2012-10-16" "15" 0 "weekday"
"200" "2012-10-17" "15" 0 "weekday"
"201" "2012-10-18" "15" 0 "weekday"
"202" "2012-10-19" "15" 0 "weekday"
"203" "2012-10-20" "15" 0 "weekend"
"204" "2012-10-21" "15" 0 "weekend"
"205" "2012-10-22" "15" 0 "weekday"
"206" "2012-10-23" "15" 0 "weekday"
"207" "2012-10-24" "15" 0 "weekday"
"208" "2012-10-25" "15" 0 "weekday"
"209" "2012-10-26" "15" 0 "weekday"
"210" "2012-10-27" "15" 0 "weekend"
"211" "2012-10-28" "15" 0 "weekend"
"212" "2012-10-29" "15" 0 "weekday"
"213" "2012-10-30" "15" 0 "weekday"
"214" "2012-10-31" "15" 0 "weekday"
"215" "2012-11-01" "15" 0 "weekday"
"216" "2012-11-02" "15" 0 "weekday"
"217" "2012-11-03" "15" 0 "weekend"
"218" "2012-11-04" "15" 0 "weekend"
"219" "2012-11-05" "15" 0 "weekday"
"220" "2012-11-06" "15" 0 "weekday"
"221" "2012-11-07" "15" 0 "weekday"
"222" "2012-11-08" "15" 0 "weekday"
"223" "2012-11-09" "15" 0 "weekday"
"224" "2012-11-10" "15" 0 "weekend"
"225" "2012-11-11" "15" 0 "weekend"
"226" "2012-11-12" "15" 0 "weekday"
"227" "2012-11-13" "15" 0 "weekday"
"228" "2012-11-14" "15" 0 "weekday"
"229" "2012-11-15" "15" 0 "weekday"
"230" "2012-11-16" "15" 0 "weekday"
"231" "2012-11-17" "15" 0 "weekend"
"232" "2012-11-18" "15" 0 "weekend"
"233" "2012-11-19" "15" 0 "weekday"
"234" "2012-11-20" "15" 0 "weekday"
"235" "2012-11-21" "15" 0 "weekday"
"236" "2012-11-22" "15" 0 "weekday"
"237" "2012-11-23" "15" 0 "weekday"
"238" "2012-11-24" "15" 0 "weekend"
"239" "2012-11-25" "15" 0 "weekend"
"240" "2012-11-26" "15" 0 "weekday"
"241" "2012-11-27" "15" 0 "weekday"
"242" "2012-11-28" "15" 0 "weekday"
"243" "2012-11-29" "15" 0 "weekday"
"244" "2012-11-30" "15" 0 "weekday"
"245" "2012-10-01" "20" 0 "weekday"
"246" "2012-10-02" "20" 0 "weekday"
"247" "2012-10-03" "20" 0 "weekday"
"248" "2012-10-04" "20" 0 "weekday"
"249" "2012-10-05" "20" 0 "weekday"
"250" "2012-10-06" "20" 0 "weekend"
"251" "2012-10-07" "20" 0 "weekend"
"252" "2012-10-08" "20" 0 "weekday"
"253" "2012-10-09" "20" 0 "weekday"
"254" "2012-10-10" "20" 0 "weekday"
"255" "2012-10-11" "20" 0 "weekday"
"256" "2012-10-12" "20" 0 "weekday"
"257" "2012-10-13" "20" 0 "weekend"
"258" "2012-10-14" "20" 0 "weekend"
"259" "2012-10-15" "20" 0 "weekday"
"260" "2012-10-16" "20" 0 "weekday"
"261" "2012-10-17" "20" 0 "weekday"
"262" "2012-10-18" "20" 0 "weekday"
"263" "2012-10-19" "20" 0 "weekday"
"264" "2012-10-20" "20" 0 "weekend"
"265" "2012-10-21" "20" 0 "weekend"
"266" "2012-10-22" "20" 0 "weekday"
"267" "2012-10-23" "20" 4 "weekday"
"268" "2012-10-24" "20" 0 "weekday"
"269" "2012-10-25" "20" 0 "weekday"
"270" "2012-10-26" "20" 0 "weekday"
"271" "2012-10-27" "20" 0 "weekend"
"272" "2012-10-28" "20" 0 "weekend"
"273" "2012-10-29" "20" 0 "weekday"
"274" "2012-10-30" "20" 0 "weekday"
"275" "2012-10-31" "20" 0 "weekday"
"276" "2012-11-01" "20" 0 "weekday"
"277" "2012-11-02" "20" 0 "weekday"
"278" "2012-11-03" "20" 0 "weekend"
"279" "2012-11-04" "20" 0 "weekend"
"280" "2012-11-05" "20" 0 "weekday"
"281" "2012-11-06" "20" 0 "weekday"
"282" "2012-11-07" "20" 0 "weekday"
"283" "2012-11-08" "20" 0 "weekday"
"284" "2012-11-09" "20" 0 "weekday"
"285" "2012-11-10" "20" 0 "weekend"
"286" "2012-11-11" "20" 0 "weekend"
"287" "2012-11-12" "20" 0 "weekday"
"288" "2012-11-13" "20" 0 "weekday"
"289" "2012-11-14" "20" 0 "weekday"
"290" "2012-11-15" "20" 0 "weekday"
"291" "2012-11-16" "20" 0 "weekday"
"292" "2012-11-17" "20" 0 "weekend"
"293" "2012-11-18" "20" 0 "weekend"
"294" "2012-11-19" "20" 0 "weekday"
"295" "2012-11-20" "20" 0 "weekday"
"296" "2012-11-21" "20" 0 "weekday"
"297" "2012-11-22" "20" 0 "weekday"
"298" "2012-11-23" "20" 0 "weekday"
"299" "2012-11-24" "20" 0 "weekend"
"300" "2012-11-25" "20" 0 "weekend"
"301" "2012-11-26" "20" 0 "weekday"
"302" "2012-11-27" "20" 0 "weekday"
"303" "2012-11-28" "20" 0 "weekday"
"304" "2012-11-29" "20" 0 "weekday"
"305" "2012-11-30" "20" 0 "weekday"
"306" "2012-10-01" "25" 2 "weekday"
"307" "2012-10-02" "25" 0 "weekday"
"308" "2012-10-03" "25" 0 "weekday"
"309" "2012-10-04" "25" 0 "weekday"
"310" "2012-10-05" "25" 0 "weekday"
"311" "2012-10-06" "25" 0 "weekend"
"312" "2012-10-07" "25" 0 "weekend"
"313" "2012-10-08" "25" 2 "weekday"
"314" "2012-10-09" "25" 13 "weekday"
"315" "2012-10-10" "25" 0 "weekday"
"316" "2012-10-11" "25" 0 "weekday"
"317" "2012-10-12" "25" 0 "weekday"
"318" "2012-10-13" "25" 0 "weekend"
"319" "2012-10-14" "25" 52 "weekend"
"320" "2012-10-15" "25" 35 "weekday"
"321" "2012-10-16" "25" 0 "weekday"
"322" "2012-10-17" "25" 0 "weekday"
"323" "2012-10-18" "25" 11 "weekday"
"324" "2012-10-19" "25" 0 "weekday"
"325" "2012-10-20" "25" 0 "weekend"
"326" "2012-10-21" "25" 0 "weekend"
"327" "2012-10-22" "25" 0 "weekday"
"328" "2012-10-23" "25" 0 "weekday"
"329" "2012-10-24" "25" 0 "weekday"
"330" "2012-10-25" "25" 0 "weekday"
"331" "2012-10-26" "25" 0 "weekday"
"332" "2012-10-27" "25" 0 "weekend"
"333" "2012-10-28" "25" 0 "weekend"
"334" "2012-10-29" "25" 0 "weekday"
"335" "2012-10-30" "25" 0 "weekday"
"336" "2012-10-31" "25" 0 "weekday"
"337" "2012-11-01" "25" 2 "weekday"
"338" "2012-11-02" "25" 0 "weekday"
"339" "2012-11-03" "25" 0 "weekend"
"340" "2012-11-04" "25" 2 "weekend"
"341" "2012-11-05" "25" 0 "weekday"
"342" "2012-11-06" "25" 0 "weekday"
"343" "2012-11-07" "25" 0 "weekday"
"344" "2012-11-08" "25" 0 "weekday"
"345" "2012-11-09" "25" 2 "weekday"
"346" "2012-11-10" "25" 2 "weekend"
"347" "2012-11-11" "25" 0 "weekend"
"348" "2012-11-12" "25" 0 "weekday"
"349" "2012-11-13" "25" 0 "weekday"
"350" "2012-11-14" "25" 2 "weekday"
"351" "2012-11-15" "25" 0 "weekday"
"352" "2012-11-16" "25" 0 "weekday"
"353" "2012-11-17" "25" 0 "weekend"
"354" "2012-11-18" "25" 0 "weekend"
"355" "2012-11-19" "25" 0 "weekday"
"356" "2012-11-20" "25" 0 "weekday"
"357" "2012-11-21" "25" 0 "weekday"
"358" "2012-11-22" "25" 0 "weekday"
"359" "2012-11-23" "25" 0 "weekday"
"360" "2012-11-24" "25" 0 "weekend"
"361" "2012-11-25" "25" 0 "weekend"
"362" "2012-11-26" "25" 0 "weekday"
"363" "2012-11-27" "25" 0 "weekday"
"364" "2012-11-28" "25" 0 "weekday"
"365" "2012-11-29" "25" 0 "weekday"
"366" "2012-11-30" "25" 2 "weekday"
"367" "2012-10-01" "30" 1 "weekday"
"368" "2012-10-02" "30" 0 "weekday"
"369" "2012-10-03" "30" 0 "weekday"
"370" "2012-10-04" "30" 0 "weekday"
"371" "2012-10-05" "30" 0 "weekday"
"372" "2012-10-06" "30" 0 "weekend"
"373" "2012-10-07" "30" 0 "weekend"
"374" "2012-10-08" "30" 1 "weekday"
"375" "2012-10-09" "30" 28 "weekday"
"376" "2012-10-10" "30" 0 "weekday"
"377" "2012-10-11" "30" 0 "weekday"
"378" "2012-10-12" "30" 0 "weekday"
"379" "2012-10-13" "30" 0 "weekend"
"380" "2012-10-14" "30" 0 "weekend"
"381" "2012-10-15" "30" 0 "weekday"
"382" "2012-10-16" "30" 0 "weekday"
"383" "2012-10-17" "30" 0 "weekday"
"384" "2012-10-18" "30" 0 "weekday"
"385" "2012-10-19" "30" 0 "weekday"
"386" "2012-10-20" "30" 0 "weekend"
"387" "2012-10-21" "30" 0 "weekend"
"388" "2012-10-22" "30" 0 "weekday"
"389" "2012-10-23" "30" 0 "weekday"
"390" "2012-10-24" "30" 0 "weekday"
"391" "2012-10-25" "30" 0 "weekday"
"392" "2012-10-26" "30" 0 "weekday"
"393" "2012-10-27" "30" 0 "weekend"
"394" "2012-10-28" "30" 0 "weekend"
"395" "2012-10-29" "30" 0 "weekday"
"396" "2012-10-30" "30" 0 "weekday"
"397" "2012-10-31" "30" 0 "weekday"
"398" "2012-11-01" "30" 1 "weekday"
"399" "2012-11-02" "30" 0 "weekday"
"400" "2012-11-03" "30" 0 "weekend"
"401" "2012-11-04" "30" 1 "weekend"
"402" "2012-11-05" "30" 0 "weekday"
"403" "2012-11-06" "30" 0 "weekday"
"404" "2012-11-07" "30" 0 "weekday"
"405" "2012-11-08" "30" 0 "weekday"
"406" "2012-11-09" "30" 1 "weekday"
"407" "2012-11-10" "30" 1 "weekend"
"408" "2012-11-11" "30" 0 "weekend"
"409" "2012-11-12" "30" 0 "weekday"
"410" "2012-11-13" "30" 0 "weekday"
"411" "2012-11-14" "30" 1 "weekday"
"412" "2012-11-15" "30" 0 "weekday"
"413" "2012-11-16" "30" 0 "weekday"
"414" "2012-11-17" "30" 0 "weekend"
"415" "2012-11-18" "30" 0 "weekend"
"416" "2012-11-19" "30" 0 "weekday"
"417" "2012-11-20" "30" 0 "weekday"
"418" "2012-11-21" "30" 0 "weekday"
"419" "2012-11-22" "30" 0 "weekday"
"420" "2012-11-23" "30" 0 "weekday"
"421" "2012-11-24" "30" 0 "weekend"
"422" "2012-11-25" "30" 0 "weekend"
"423" "2012-11-26" "30" 0 "weekday"
"424" "2012-11-27" "30" 0 "weekday"
"425" "2012-11-28" "30" 0 "weekday"
"426" "2012-11-29" "30" 0 "weekday"
"427" "2012-11-30" "30" 1 "weekday"
"428" "2012-10-01" "35" 1 "weekday"
"429" "2012-10-02" "35" 0 "weekday"
"430" "2012-10-03" "35" 0 "weekday"
"431" "2012-10-04" "35" 0 "weekday"
"432" "2012-10-05" "35" 0 "weekday"
"433" "2012-10-06" "35" 0 "weekend"
"434" "2012-10-07" "35" 0 "weekend"
"435" "2012-10-08" "35" 1 "weekday"
"436" "2012-10-09" "35" 0 "weekday"
"437" "2012-10-10" "35" 0 "weekday"
"438" "2012-10-11" "35" 0 "weekday"
"439" "2012-10-12" "35" 0 "weekday"
"440" "2012-10-13" "35" 0 "weekend"
"441" "2012-10-14" "35" 0 "weekend"
"442" "2012-10-15" "35" 0 "weekday"
"443" "2012-10-16" "35" 0 "weekday"
"444" "2012-10-17" "35" 0 "weekday"
"445" "2012-10-18" "35" 0 "weekday"
"446" "2012-10-19" "35" 0 "weekday"
"447" "2012-10-20" "35" 0 "weekend"
"448" "2012-10-21" "35" 0 "weekend"
"449" "2012-10-22" "35" 0 "weekday"
"450" "2012-10-23" "35" 0 "weekday"
"451" "2012-10-24" "35" 0 "weekday"
"452" "2012-10-25" "35" 46 "weekday"
"453" "2012-10-26" "35" 0 "weekday"
"454" "2012-10-27" "35" 0 "weekend"
"455" "2012-10-28" "35" 0 "weekend"
"456" "2012-10-29" "35" 0 "weekday"
"457" "2012-10-30" "35" 0 "weekday"
"458" "2012-10-31" "35" 0 "weekday"
"459" "2012-11-01" "35" 1 "weekday"
"460" "2012-11-02" "35" 0 "weekday"
"461" "2012-11-03" "35" 0 "weekend"
"462" "2012-11-04" "35" 1 "weekend"
"463" "2012-11-05" "35" 0 "weekday"
"464" "2012-11-06" "35" 0 "weekday"
"465" "2012-11-07" "35" 0 "weekday"
"466" "2012-11-08" "35" 0 "weekday"
"467" "2012-11-09" "35" 1 "weekday"
"468" "2012-11-10" "35" 1 "weekend"
"469" "2012-11-11" "35" 0 "weekend"
"470" "2012-11-12" "35" 0 "weekday"
"471" "2012-11-13" "35" 0 "weekday"
"472" "2012-11-14" "35" 1 "weekday"
"473" "2012-11-15" "35" 0 "weekday"
"474" "2012-11-16" "35" 0 "weekday"
"475" "2012-11-17" "35" 0 "weekend"
"476" "2012-11-18" "35" 0 "weekend"
"477" "2012-11-19" "35" 0 "weekday"
"478" "2012-11-20" "35" 0 "weekday"
"479" "2012-11-21" "35" 0 "weekday"
"480" "2012-11-22" "35" 0 "weekday"
"481" "2012-11-23" "35" 0 "weekday"
"482" "2012-11-24" "35" 0 "weekend"
"483" "2012-11-25" "35" 0 "weekend"
"484" "2012-11-26" "35" 0 "weekday"
"485" "2012-11-27" "35" 0 "weekday"
"486" "2012-11-28" "35" 0 "weekday"
"487" "2012-11-29" "35" 0 "weekday"
"488" "2012-11-30" "35" 1 "weekday"
"489" "2012-10-01" "40" 0 "weekday"
"490" "2012-10-02" "40" 0 "weekday"
"491" "2012-10-03" "40" 0 "weekday"
"492" "2012-10-04" "40" 0 "weekday"
"493" "2012-10-05" "40" 0 "weekday"
"494" "2012-10-06" "40" 0 "weekend"
"495" "2012-10-07" "40" 0 "weekend"
"496" "2012-10-08" "40" 0 "weekday"
"497" "2012-10-09" "40" 0 "weekday"
"498" "2012-10-10" "40" 0 "weekday"
"499" "2012-10-11" "40" 0 "weekday"
"500" "2012-10-12" "40" 0 "weekday"
"501" "2012-10-13" "40" 0 "weekend"
"502" "2012-10-14" "40" 0 "weekend"
"503" "2012-10-15" "40" 0 "weekday"
"504" "2012-10-16" "40" 0 "weekday"
"505" "2012-10-17" "40" 0 "weekday"
"506" "2012-10-18" "40" 0 "weekday"
"507" "2012-10-19" "40" 0 "weekday"
"508" "2012-10-20" "40" 0 "weekend"
"509" "2012-10-21" "40" 0 "weekend"
"510" "2012-10-22" "40" 0 "weekday"
"511" "2012-10-23" "40" 0 "weekday"
"512" "2012-10-24" "40" 0 "weekday"
"513" "2012-10-25" "40" 0 "weekday"
"514" "2012-10-26" "40" 0 "weekday"
"515" "2012-10-27" "40" 0 "weekend"
"516" "2012-10-28" "40" 0 "weekend"
"517" "2012-10-29" "40" 0 "weekday"
"518" "2012-10-30" "40" 0 "weekday"
"519" "2012-10-31" "40" 0 "weekday"
"520" "2012-11-01" "40" 0 "weekday"
"521" "2012-11-02" "40" 0 "weekday"
"522" "2012-11-03" "40" 0 "weekend"
"523" "2012-11-04" "40" 0 "weekend"
"524" "2012-11-05" "40" 0 "weekday"
"525" "2012-11-06" "40" 0 "weekday"
"526" "2012-11-07" "40" 0 "weekday"
"527" "2012-11-08" "40" 0 "weekday"
"528" "2012-11-09" "40" 0 "weekday"
"529" "2012-11-10" "40" 0 "weekend"
"530" "2012-11-11" "40" 0 "weekend"
"531" "2012-11-12" "40" 0 "weekday"
"532" "2012-11-13" "40" 0 "weekday"
"533" "2012-11-14" "40" 0 "weekday"
"534" "2012-11-15" "40" 0 "weekday"
"535" "2012-11-16" "40" 0 "weekday"
"536" "2012-11-17" "40" 0 "weekend"
"537" "2012-11-18" "40" 0 "weekend"
"538" "2012-11-19" "40" 0 "weekday"
"539" "2012-11-20" "40" 0 "weekday"
"540" "2012-11-21" "40" 0 "weekday"
"541" "2012-11-22" "40" 0 "weekday"
"542" "2012-11-23" "40" 0 "weekday"
"543" "2012-11-24" "40" 0 "weekend"
"544" "2012-11-25" "40" 0 "weekend"
"545" "2012-11-26" "40" 0 "weekday"
"546" "2012-11-27" "40" 0 "weekday"
"547" "2012-11-28" "40" 0 "weekday"
"548" "2012-11-29" "40" 0 "weekday"
"549" "2012-11-30" "40" 0 "weekday"
"550" "2012-10-01" "45" 1 "weekday"
"551" "2012-10-02" "45" 0 "weekday"
"552" "2012-10-03" "45" 0 "weekday"
"553" "2012-10-04" "45" 0 "weekday"
"554" "2012-10-05" "45" 0 "weekday"
"555" "2012-10-06" "45" 0 "weekend"
"556" "2012-10-07" "45" 0 "weekend"
"557" "2012-10-08" "45" 1 "weekday"
"558" "2012-10-09" "45" 0 "weekday"
"559" "2012-10-10" "45" 0 "weekday"
"560" "2012-10-11" "45" 0 "weekday"
"561" "2012-10-12" "45" 0 "weekday"
"562" "2012-10-13" "45" 0 "weekend"
"563" "2012-10-14" "45" 0 "weekend"
"564" "2012-10-15" "45" 0 "weekday"
"565" "2012-10-16" "45" 0 "weekday"
"566" "2012-10-17" "45" 72 "weekday"
"567" "2012-10-18" "45" 0 "weekday"
"568" "2012-10-19" "45" 0 "weekday"
"569" "2012-10-20" "45" 6 "weekend"
"570" "2012-10-21" "45" 0 "weekend"
"571" "2012-10-22" "45" 0 "weekday"
"572" "2012-10-23" "45" 0 "weekday"
"573" "2012-10-24" "45" 0 "weekday"
"574" "2012-10-25" "45" 0 "weekday"
"575" "2012-10-26" "45" 0 "weekday"
"576" "2012-10-27" "45" 0 "weekend"
"577" "2012-10-28" "45" 0 "weekend"
"578" "2012-10-29" "45" 0 "weekday"
"579" "2012-10-30" "45" 0 "weekday"
"580" "2012-10-31" "45" 0 "weekday"
"581" "2012-11-01" "45" 1 "weekday"
"582" "2012-11-02" "45" 0 "weekday"
"583" "2012-11-03" "45" 0 "weekend"
"584" "2012-11-04" "45" 1 "weekend"
"585" "2012-11-05" "45" 0 "weekday"
"586" "2012-11-06" "45" 0 "weekday"
"587" "2012-11-07" "45" 0 "weekday"
"588" "2012-11-08" "45" 0 "weekday"
"589" "2012-11-09" "45" 1 "weekday"
"590" "2012-11-10" "45" 1 "weekend"
"591" "2012-11-11" "45" 0 "weekend"
"592" "2012-11-12" "45" 0 "weekday"
"593" "2012-11-13" "45" 0 "weekday"
"594" "2012-11-14" "45" 1 "weekday"
"595" "2012-11-15" "45" 0 "weekday"
"596" "2012-11-16" "45" 0 "weekday"
"597" "2012-11-17" "45" 0 "weekend"
"598" "2012-11-18" "45" 0 "weekend"
"599" "2012-11-19" "45" 0 "weekday"
"600" "2012-11-20" "45" 0 "weekday"
"601" "2012-11-21" "45" 0 "weekday"
"602" "2012-11-22" "45" 0 "weekday"
"603" "2012-11-23" "45" 0 "weekday"
"604" "2012-11-24" "45" 0 "weekend"
"605" "2012-11-25" "45" 0 "weekend"
"606" "2012-11-26" "45" 0 "weekday"
"607" "2012-11-27" "45" 0 "weekday"
